"ensembl_gene_id","symbol"
"ENSG00000071575","TRIB2"
"ENSG00000071894","CPSF1"
"ENSG00000071994","PDCD2"
"ENSG00000072042","RDH11"
"ENSG00000072062","PRKACA"
"ENSG00000072110","ACTN1"
"ENSG00000072210","ALDH3A2"
"ENSG00000072274","TFRC"
"ENSG00000072364","AFF4"
"ENSG00000072401","UBE2D1"
"ENSG00000072415","PALS1"
"ENSG00000072501","SMC1A"
"ENSG00000072506","HSD17B10"
"ENSG00000072518","MARK2"
"ENSG00000072609","CHFR"
"ENSG00000072736","NFATC3"
"ENSG00000072756","TRNT1"
"ENSG00000072778","ACADVL"
"ENSG00000072803","FBXW11"
"ENSG00000072958","AP1M1"
"ENSG00000073050","XRCC1"
"ENSG00000073060","SCARB1"
"ENSG00000073417","PDE8A"
"ENSG00000073584","SMARCE1"
"ENSG00000073614","KDM5A"
"ENSG00000073921","PICALM"
"ENSG00000073969","NSF"
"ENSG00000074054","CLASP1"
"ENSG00000074071","MRPS34"
"ENSG00000074266","EED"
"ENSG00000074319","TSG101"
"ENSG00000074356","NCBP3"
"ENSG00000074416","MGLL"
"ENSG00000074582","BCS1L"
"ENSG00000074603","DPP8"
"ENSG00000074695","LMAN1"
"ENSG00000074696","HACD3"
"ENSG00000074755","ZZEF1"
"ENSG00000074842","MYDGF"
"ENSG00000074935","TUBE1"
"ENSG00000075089","ACTR6"
"ENSG00000075151","EIF4G3"
"ENSG00000075188","NUP37"
"ENSG00000075239","ACAT1"
"ENSG00000075292","ZNF638"
"ENSG00000075303","SLC25A40"
"ENSG00000075413","MARK3"
"ENSG00000075539","FRYL"
"ENSG00000075568","TMEM131"
"ENSG00000075624","ACTB"
"ENSG00000075711","DLG1"
"ENSG00000075790","BCAP29"
"ENSG00000075826","SEC31B"
"ENSG00000075856","SART3"
"ENSG00000075914","EXOSC7"
"ENSG00000075945","KIFAP3"
"ENSG00000075975","MKRN2"
"ENSG00000076043","REXO2"
"ENSG00000076053","RBM7"
"ENSG00000076067","RBMS2"
"ENSG00000076108","BAZ2A"
"ENSG00000076201","PTPN23"
"ENSG00000076242","MLH1"
"ENSG00000076248","UNG"
"ENSG00000076513","ANKRD13A"
"ENSG00000076650","GPATCH1"
"ENSG00000076685","NT5C2"
"ENSG00000076706","MCAM"
"ENSG00000076928","ARHGEF1"
"ENSG00000076984","MAP2K7"
"ENSG00000077097","TOP2B"
"ENSG00000077147","TM9SF3"
"ENSG00000077157","PPP1R12B"
"ENSG00000077232","DNAJC10"
"ENSG00000077235","GTF3C1"
"ENSG00000077254","USP33"
"ENSG00000077312","SNRPA"
"ENSG00000077380","DYNC1I2"
"ENSG00000077458","FAM76B"
"ENSG00000077549","CAPZB"
"ENSG00000077721","UBE2A"
"ENSG00000077782","FGFR1"
"ENSG00000078043","PIAS2"
"ENSG00000078061","ARAF"
"ENSG00000078070","MCCC1"
"ENSG00000078124","ACER3"
"ENSG00000078140","UBE2K"
"ENSG00000078142","PIK3C3"
"ENSG00000078237","TIGAR"
"ENSG00000078246","TULP3"
"ENSG00000078369","GNB1"
"ENSG00000078403","MLLT10"
"ENSG00000078618","NRDC"
"ENSG00000078668","VDAC3"
"ENSG00000078674","PCM1"
"ENSG00000078699","CBFA2T2"
"ENSG00000078747","ITCH"
"ENSG00000078808","SDF4"
"ENSG00000079134","THOC1"
"ENSG00000079246","XRCC5"
"ENSG00000079277","MKNK1"
"ENSG00000079387","SENP1"
"ENSG00000079459","FDFT1"
"ENSG00000079616","KIF22"
"ENSG00000079739","PGM1"
"ENSG00000079785","DDX1"
"ENSG00000079805","DNM2"
"ENSG00000079819","EPB41L2"
"ENSG00000079950","STX7"
"ENSG00000079999","KEAP1"
"ENSG00000080189","SLC35C2"
"ENSG00000080345","RIF1"
"ENSG00000080371","RAB21"
"ENSG00000080503","SMARCA2"
"ENSG00000080546","SESN1"
"ENSG00000080603","SRCAP"
"ENSG00000080608","PUM3"
"ENSG00000080802","CNOT4"
"ENSG00000080815","PSEN1"
"ENSG00000080819","CPOX"
"ENSG00000080824","HSP90AA1"
"ENSG00000080839","RBL1"
"ENSG00000081026","MAGI3"
"ENSG00000081087","OSTM1"
"ENSG00000081177","EXD2"
"ENSG00000081307","UBA5"
"ENSG00000081665","ZNF506"
"ENSG00000081760","AACS"
"ENSG00000081791","DELE1"
"ENSG00000081913","PHLPP1"
"ENSG00000082068","WDR70"
"ENSG00000082146","STRADB"
"ENSG00000082153","BZW1"
"ENSG00000082212","ME2"
"ENSG00000082258","CCNT2"
"ENSG00000082269","FAM135A"
"ENSG00000082512","TRAF5"
"ENSG00000082515","MRPL22"
"ENSG00000082641","NFE2L1"
"ENSG00000082701","GSK3B"
"ENSG00000082781","ITGB5"
"ENSG00000082805","ERC1"
"ENSG00000082898","XPO1"
"ENSG00000082996","RNF13"
"ENSG00000083093","PALB2"
"ENSG00000083097","DOP1A"
"ENSG00000083099","LYRM2"
"ENSG00000083123","BCKDHB"
"ENSG00000083168","KAT6A"
"ENSG00000083223","TUT7"
"ENSG00000083290","ULK2"
"ENSG00000083312","TNPO1"
"ENSG00000083457","ITGAE"
"ENSG00000083520","DIS3"
"ENSG00000083535","PIBF1"
"ENSG00000083544","TDRD3"
"ENSG00000083642","PDS5B"
"ENSG00000083750","RRAGB"
"ENSG00000083799","CYLD"
"ENSG00000083896","YTHDC1"
"ENSG00000083937","CHMP2B"
"ENSG00000084072","PPIE"
"ENSG00000084073","ZMPSTE24"
"ENSG00000084090","STARD7"
"ENSG00000084092","NOA1"
"ENSG00000084234","APLP2"
"ENSG00000084623","EIF3I"
"ENSG00000084652","TXLNA"
"ENSG00000084676","NCOA1"
"ENSG00000084693","AGBL5"
"ENSG00000084733","RAB10"
"ENSG00000084754","HADHA"
"ENSG00000084764","MAPRE3"
"ENSG00000085063","CD59"
"ENSG00000085231","AK6"
"ENSG00000085274","MYNN"
"ENSG00000085365","SCAMP1"
"ENSG00000085377","PREP"
"ENSG00000085382","HACE1"
"ENSG00000085415","SEH1L"
"ENSG00000085433","WDR47"
"ENSG00000085449","WDFY1"
"ENSG00000085511","MAP3K4"
"ENSG00000085719","CPNE3"
"ENSG00000085721","RRN3"
"ENSG00000085733","CTTN"
"ENSG00000085760","MTIF2"
"ENSG00000085788","DDHD2"
"ENSG00000085832","EPS15"
"ENSG00000085871","MGST2"
"ENSG00000085978","ATG16L1"
"ENSG00000085982","USP40"
"ENSG00000085998","POMGNT1"
"ENSG00000086061","DNAJA1"
"ENSG00000086062","B4GALT1"
"ENSG00000086102","NFX1"
"ENSG00000086189","DIMT1"
"ENSG00000086200","IPO11"
"ENSG00000086232","EIF2AK1"
"ENSG00000086475","SEPHS1"
"ENSG00000086589","RBM22"
"ENSG00000086598","TMED2"
"ENSG00000086619","ERO1B"
"ENSG00000086712","TXLNG"
"ENSG00000086758","HUWE1"
"ENSG00000086827","ZW10"
"ENSG00000086848","ALG9"
"ENSG00000087053","MTMR2"
"ENSG00000087087","SRRT"
"ENSG00000087095","NLK"
"ENSG00000087111","PIGS"
"ENSG00000087152","ATXN7L3"
"ENSG00000087157","PGS1"
"ENSG00000087191","PSMC5"
"ENSG00000087206","UIMC1"
"ENSG00000087263","OGFOD1"
"ENSG00000087269","NOP14"
"ENSG00000087274","ADD1"
"ENSG00000087365","SF3B2"
"ENSG00000087460","GNAS"
"ENSG00000087470","DNM1L"
"ENSG00000087502","ERGIC2"
"ENSG00000087995","METTL2A"
"ENSG00000088035","ALG6"
"ENSG00000088179","PTPN4"
"ENSG00000088205","DDX18"
"ENSG00000088256","GNA11"
"ENSG00000088298","EDEM2"
"ENSG00000088356","PDRG1"
"ENSG00000088387","DOCK9"
"ENSG00000088451","TGDS"
"ENSG00000088682","COQ9"
"ENSG00000088808","PPP1R13B"
"ENSG00000088812","ATRN"
"ENSG00000088833","NSFL1C"
"ENSG00000088876","ZNF343"
"ENSG00000088930","XRN2"
"ENSG00000088970","KIZ"
"ENSG00000089006","SNX5"
"ENSG00000089009","RPL6"
"ENSG00000089022","MAPKAPK5"
"ENSG00000089048","ESF1"
"ENSG00000089053","ANAPC5"
"ENSG00000089154","GCN1"
"ENSG00000089159","PXN"
"ENSG00000089195","TRMT6"
"ENSG00000089234","BRAP"
"ENSG00000089248","ERP29"
"ENSG00000089280","FUS"
"ENSG00000089289","IGBP1"
"ENSG00000089486","CDIP1"
"ENSG00000089597","GANAB"
"ENSG00000089693","MLF2"
"ENSG00000089737","DDX24"
"ENSG00000089775","ZBTB25"
"ENSG00000089818","NECAP1"
"ENSG00000089876","DHX32"
"ENSG00000089916","GPATCH2L"
"ENSG00000090054","SPTLC1"
"ENSG00000090060","PAPOLA"
"ENSG00000090061","CCNK"
"ENSG00000090266","NDUFB2"
"ENSG00000090273","NUDC"
"ENSG00000090316","MAEA"
"ENSG00000090372","STRN4"
"ENSG00000090470","PDCD7"
"ENSG00000090487","SPG21"
"ENSG00000090520","DNAJB11"
"ENSG00000090581","GNPTG"
"ENSG00000090612","ZNF268"
"ENSG00000090621","PABPC4"
"ENSG00000090674","MCOLN1"
"ENSG00000090686","USP48"
"ENSG00000090861","AARS1"
"ENSG00000090863","GLG1"
"ENSG00000090905","TNRC6A"
"ENSG00000090989","EXOC1"
"ENSG00000091039","OSBPL8"
"ENSG00000091127","PUS7"
"ENSG00000091140","DLD"
"ENSG00000091164","TXNL1"
"ENSG00000091317","CMTM6"
"ENSG00000091409","ITGA6"
"ENSG00000091483","FH"
"ENSG00000091490","SEL1L3"
"ENSG00000091527","CDV3"
"ENSG00000091542","ALKBH5"
"ENSG00000091732","ZC3HC1"
"ENSG00000091947","TMEM101"
"ENSG00000092010","PSME1"
"ENSG00000092020","PPP2R3C"
"ENSG00000092036","HAUS4"
"ENSG00000092094","OSGEP"
"ENSG00000092098","RNF31"
"ENSG00000092108","SCFD1"
"ENSG00000092140","G2E3"
"ENSG00000092148","HECTD1"
"ENSG00000092201","SUPT16H"
"ENSG00000092203","TOX4"
"ENSG00000092330","TINF2"
"ENSG00000092439","TRPM7"
"ENSG00000092531","SNAP23"
"ENSG00000092871","RFFL"
"ENSG00000092931","MFSD11"
"ENSG00000092964","DPYSL2"
"ENSG00000092978","GPATCH2"
"ENSG00000093000","NUP50"
"ENSG00000093010","COMT"
"ENSG00000093144","ECHDC1"
"ENSG00000093167","LRRFIP2"
"ENSG00000094631","HDAC6"
"ENSG00000094841","UPRT"
"ENSG00000094880","CDC23"
"ENSG00000094914","AAAS"
"ENSG00000094975","SUCO"
"ENSG00000095002","MSH2"
"ENSG00000095059","DHPS"
"ENSG00000095139","ARCN1"
"ENSG00000095209","TMEM38B"
"ENSG00000095261","PSMD5"
"ENSG00000095319","NUP188"
"ENSG00000095380","NANS"
"ENSG00000095485","CWF19L1"
"ENSG00000095564","BTAF1"
"ENSG00000095574","IKZF5"
"ENSG00000095637","SORBS1"
"ENSG00000095787","WAC"
"ENSG00000095794","CREM"
"ENSG00000096063","SRPK1"
"ENSG00000096080","MRPS18A"
"ENSG00000096384","HSP90AB1"
"ENSG00000096401","CDC5L"
"ENSG00000096654","ZNF184"
"ENSG00000096717","SIRT1"
"ENSG00000096746","HNRNPH3"
"ENSG00000096968","JAK2"
"ENSG00000097007","ABL1"
"ENSG00000097033","SH3GLB1"
"ENSG00000099203","TMED1"
"ENSG00000099204","ABLIM1"
"ENSG00000099219","ERMP1"
"ENSG00000099246","RAB18"
"ENSG00000099341","PSMD8"
"ENSG00000099783","HNRNPM"
"ENSG00000099795","NDUFB7"
"ENSG00000099797","TECR"
"ENSG00000099810","MTAP"
"ENSG00000099899","TRMT2A"
"ENSG00000099901","RANBP1"
"ENSG00000099910","KLHL22"
"ENSG00000099917","MED15"
"ENSG00000099956","SMARCB1"
"ENSG00000099968","BCL2L13"
"ENSG00000099995","SF3A1"
"ENSG00000100014","SPECC1L"
"ENSG00000100023","PPIL2"
"ENSG00000100028","SNRPD3"
"ENSG00000100029","PES1"
"ENSG00000100030","MAPK1"
"ENSG00000100083","GGA1"
"ENSG00000100084","HIRA"
"ENSG00000100097","LGALS1"
"ENSG00000100099","HPS4"
"ENSG00000100100","PIK3IP1"
"ENSG00000100104","SRRD"
"ENSG00000100105","PATZ1"
"ENSG00000100109","TFIP11"
"ENSG00000100124","ANKRD54"
"ENSG00000100129","EIF3L"
"ENSG00000100151","PICK1"
"ENSG00000100201","DDX17"
"ENSG00000100207","TCF20"
"ENSG00000100209","HSCB"
"ENSG00000100211","CBY1"
"ENSG00000100219","XBP1"
"ENSG00000100220","RTCB"
"ENSG00000100225","FBXO7"
"ENSG00000100226","GTPBP1"
"ENSG00000100227","POLDIP3"
"ENSG00000100234","TIMP3"
